id,from_point_lat,from_point_lon,to_point_lat,to_point_lon
24695,19.165614,72.990995,19.15545,72.853769
10299,19.15545,72.853769,19.115491,72.872695
8384,19.19786,72.796709,19.152626,72.855648
8964,19.071936,72.865415,19.186318,72.974591
18945,19.227243,72.8407,19.176732,72.882753
14213,19.246164,72.850906,19.182755,72.840154
15842,,,,
10642,19.187971,72.963173,19.155107,73.078723
18508,19.176732,72.882753,19.116472,73.006858
12921,19.253298,72.972307,19.122832,72.913247
6728,19.089552,72.843178,,
14419,12.971599,77.594563,12.971892,77.641155
16337,19.174415,73.069304,,
23060,19.168032,73.079981,19.107884,73.013617
7777,19.276476,72.859287,19.136325,72.82766
24857,19.166054,72.965479,19.069864,72.837549
23285,19.220113,72.974845,19.15545,72.853769
10805,,,19.15545,72.853769
16917,19.186955,72.858579,19.119996,72.870059
16508,19.278069,72.858397,19.14559,72.855287
16031,19.196126,72.847193,19.137819,73.003156
23309,19.26233,72.968482,19.15545,72.853769
11608,19.243914,72.864989,19.109051,72.852428
15545,19.221512,73.164463,19.205716,73.09553
6729,,,,
5692,19.009445,73.111446,19.003885,72.827453
24937,19.198797,72.965305,19.154655,72.856093
16572,19.186769,72.8581,19.109529,73.018021
23333,19.272449,72.969157,19.015847,72.827997
17473,19.045413,73.024372,19.055736,72.851345
6561,19.287139,72.868842,19.0328,72.896357
9523,19.043754,73.009515,19.176728,72.834532
17536,19.077064,72.998993,19.155149,72.867855
23413,19.168069,73.073876,,
20943,19.224513,72.968202,19.037198,73.009195
23343,19.163948,73.075304,19.077064,72.998993
23411,19.253298,72.972307,19.012452,72.826776
16516,19.047322,73.069905,19.224061,72.866647
26583,19.262839,72.968213,19.15545,72.853769
23619,19.018269,73.096671,19.060805,72.865381
5375,19.13343,72.913268,19.042861,72.86356
21364,19.173707,73.069409,19.266714,72.966103
9643,19.125733,72.856775,19.113419,72.839367
23953,19.26233,72.968482,19.154325,72.853035
10937,19.246164,72.850906,19.205716,73.09553
22069,19.035577,73.022817,,
18137,19.167862,73.072315,19.099165,72.916238
18166,19.199821,72.842594,18.992748,72.831068
24213,19.204937,72.977432,19.134057,72.848159
5748,19.273213,72.868533,19.183778,72.835448
23683,19.277404,72.870462,19.114274,72.89888
5595,19.067368,72.826241,18.933046,72.827399
22219,19.168032,73.079981,19.109771,72.858267
13344,,,19.075463,72.991898
23029,19.226661,72.983837,19.15545,72.853769
20520,,,19.062684,72.900956
26437,19.204504,72.96875,19.15545,72.853769
24658,19.173218,73.071102,18.998569,72.825294
18730,19.147845,72.995064,19.123429,72.870466
9955,19.082957,72.847855,19.108117,72.883843
10916,18.987202,72.829046,19.102077,72.912835
19638,19.167698,72.944642,19.167698,72.944642
25261,19.108699,73.001617,19.166455,72.854086
